Definição das redes:

	IP		Hosts		Objetivo			Máscara
	10.26.0.0/23	510 hosts		rede dos servidores		255.255.254.0
	10.26.2.0/25	126 hosts		vlan 35			255.255.255.128
	10.26.2.128/26	62 hosts		vlan 25			255.255.255.192
	10.26.2.192/30	2 hosts		conexão entre roteadores	255.255.255.252

Tabela  hosts x máscaras:	//só para referência
	Hosts	/mask	Máscara
	65.536	/16	255.255.0.0
	32.768	/17	255.255.128.0
	16.384	/18	255.255.192.0
	8.192	/19	255.255.224.0
	4.096	/20	255.255.240.0
	2.048	/21	255.255.248.0
	1.024	/22	255.255.252.0
	512	/23	255.255.254.0
	256	/24	255.255.255.0
	128	/25	255.255.255.128
	64	/26	255.255.255.192
	32	/27	255.255.255.224
	16	/28	255.255.255.240
	8	/29	255.255.255.248
	4	/30	255.255.255.252
	2	/31	255.255.255.254
	1	/32	255.255.255.255
